,YEAR,MONTH,DAY,DAY_OF_WEEK,FLIGHT_NUMBER,LATITUDE,LONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_TIME,SCHEDULED_ARRIVAL,DISTANCE,ARRIVAL_DELAY,AIRLINE_x_AA,AIRLINE_x_AS,AIRLINE_x_B6,AIRLINE_x_DL,AIRLINE_x_EV,AIRLINE_x_F9,AIRLINE_x_MQ,AIRLINE_x_NK,AIRLINE_x_OO,AIRLINE_x_UA,AIRLINE_x_US,AIRLINE_x_VX,AIRLINE_x_WN,ORIGIN_AIRPORT_MDW,ORIGIN_AIRPORT_ORD,CITY_Chicago,STATE_IL,COUNTRY_USA,DESTINATION_AIRPORT_ABE,DESTINATION_AIRPORT_ABQ,DESTINATION_AIRPORT_ACY,DESTINATION_AIRPORT_ALB,DESTINATION_AIRPORT_ALO,DESTINATION_AIRPORT_ANC,DESTINATION_AIRPORT_ASE,DESTINATION_AIRPORT_ATL,DESTINATION_AIRPORT_ATW,DESTINATION_AIRPORT_AUS,DESTINATION_AIRPORT_AVL,DESTINATION_AIRPORT_AVP,DESTINATION_AIRPORT_AZO,DESTINATION_AIRPORT_BDL,DESTINATION_AIRPORT_BHM,DESTINATION_AIRPORT_BIL,DESTINATION_AIRPORT_BIS,DESTINATION_AIRPORT_BMI,DESTINATION_AIRPORT_BNA,DESTINATION_AIRPORT_BOI,DESTINATION_AIRPORT_BOS,DESTINATION_AIRPORT_BTV,DESTINATION_AIRPORT_BUF,DESTINATION_AIRPORT_BWI,DESTINATION_AIRPORT_BZN,DESTINATION_AIRPORT_CAE,DESTINATION_AIRPORT_CAK,DESTINATION_AIRPORT_CHA,DESTINATION_AIRPORT_CHO,DESTINATION_AIRPORT_CHS,DESTINATION_AIRPORT_CID,DESTINATION_AIRPORT_CLE,DESTINATION_AIRPORT_CLT,DESTINATION_AIRPORT_CMH,DESTINATION_AIRPORT_CMI,DESTINATION_AIRPORT_CMX,DESTINATION_AIRPORT_COD,DESTINATION_AIRPORT_COS,DESTINATION_AIRPORT_COU,DESTINATION_AIRPORT_CRW,DESTINATION_AIRPORT_CVG,DESTINATION_AIRPORT_CWA,DESTINATION_AIRPORT_DAL,DESTINATION_AIRPORT_DAY,DESTINATION_AIRPORT_DBQ,DESTINATION_AIRPORT_DCA,DESTINATION_AIRPORT_DEN,DESTINATION_AIRPORT_DFW,DESTINATION_AIRPORT_DLH,DESTINATION_AIRPORT_DSM,DESTINATION_AIRPORT_DTW,DESTINATION_AIRPORT_EAU,DESTINATION_AIRPORT_EGE,DESTINATION_AIRPORT_ELM,DESTINATION_AIRPORT_ELP,DESTINATION_AIRPORT_ERI,DESTINATION_AIRPORT_EVV,DESTINATION_AIRPORT_EWR,DESTINATION_AIRPORT_FAI,DESTINATION_AIRPORT_FAR,DESTINATION_AIRPORT_FCA,DESTINATION_AIRPORT_FLL,DESTINATION_AIRPORT_FNT,DESTINATION_AIRPORT_FSD,DESTINATION_AIRPORT_FWA,DESTINATION_AIRPORT_GEG,DESTINATION_AIRPORT_GJT,DESTINATION_AIRPORT_GRB,DESTINATION_AIRPORT_GRR,DESTINATION_AIRPORT_GSO,DESTINATION_AIRPORT_GSP,DESTINATION_AIRPORT_GUC,DESTINATION_AIRPORT_HDN,DESTINATION_AIRPORT_HNL,DESTINATION_AIRPORT_HOU,DESTINATION_AIRPORT_HPN,DESTINATION_AIRPORT_HSV,DESTINATION_AIRPORT_IAD,DESTINATION_AIRPORT_IAH,DESTINATION_AIRPORT_ICT,DESTINATION_AIRPORT_IND,DESTINATION_AIRPORT_JAC,DESTINATION_AIRPORT_JAN,DESTINATION_AIRPORT_JAX,DESTINATION_AIRPORT_JFK,DESTINATION_AIRPORT_LAN,DESTINATION_AIRPORT_LAS,DESTINATION_AIRPORT_LAX,DESTINATION_AIRPORT_LBE,DESTINATION_AIRPORT_LEX,DESTINATION_AIRPORT_LGA,DESTINATION_AIRPORT_LIT,DESTINATION_AIRPORT_LNK,DESTINATION_AIRPORT_LSE,DESTINATION_AIRPORT_MBS,DESTINATION_AIRPORT_MCI,DESTINATION_AIRPORT_MCO,DESTINATION_AIRPORT_MDT,DESTINATION_AIRPORT_MEM,DESTINATION_AIRPORT_MHK,DESTINATION_AIRPORT_MHT,DESTINATION_AIRPORT_MIA,DESTINATION_AIRPORT_MKE,DESTINATION_AIRPORT_MKG,DESTINATION_AIRPORT_MLI,DESTINATION_AIRPORT_MOB,DESTINATION_AIRPORT_MQT,DESTINATION_AIRPORT_MSN,DESTINATION_AIRPORT_MSP,DESTINATION_AIRPORT_MSY,DESTINATION_AIRPORT_MTJ,DESTINATION_AIRPORT_MYR,DESTINATION_AIRPORT_OAK,DESTINATION_AIRPORT_OGG,DESTINATION_AIRPORT_OKC,DESTINATION_AIRPORT_OMA,DESTINATION_AIRPORT_ONT,DESTINATION_AIRPORT_ORF,DESTINATION_AIRPORT_PAH,DESTINATION_AIRPORT_PBI,DESTINATION_AIRPORT_PDX,DESTINATION_AIRPORT_PHL,DESTINATION_AIRPORT_PHX,DESTINATION_AIRPORT_PIA,DESTINATION_AIRPORT_PIT,DESTINATION_AIRPORT_PNS,DESTINATION_AIRPORT_PSP,DESTINATION_AIRPORT_PVD,DESTINATION_AIRPORT_PWM,DESTINATION_AIRPORT_RAP,DESTINATION_AIRPORT_RDU,DESTINATION_AIRPORT_RIC,DESTINATION_AIRPORT_RNO,DESTINATION_AIRPORT_ROA,DESTINATION_AIRPORT_ROC,DESTINATION_AIRPORT_RST,DESTINATION_AIRPORT_RSW,DESTINATION_AIRPORT_SAN,DESTINATION_AIRPORT_SAT,DESTINATION_AIRPORT_SAV,DESTINATION_AIRPORT_SBN,DESTINATION_AIRPORT_SCE,DESTINATION_AIRPORT_SDF,DESTINATION_AIRPORT_SEA,DESTINATION_AIRPORT_SFO,DESTINATION_AIRPORT_SGF,DESTINATION_AIRPORT_SJC,DESTINATION_AIRPORT_SJU,DESTINATION_AIRPORT_SLC,DESTINATION_AIRPORT_SMF,DESTINATION_AIRPORT_SNA,DESTINATION_AIRPORT_SPI,DESTINATION_AIRPORT_SRQ,DESTINATION_AIRPORT_STC,DESTINATION_AIRPORT_STL,DESTINATION_AIRPORT_STT,DESTINATION_AIRPORT_SUX,DESTINATION_AIRPORT_SYR,DESTINATION_AIRPORT_TOL,DESTINATION_AIRPORT_TPA,DESTINATION_AIRPORT_TTN,DESTINATION_AIRPORT_TUL,DESTINATION_AIRPORT_TUS,DESTINATION_AIRPORT_TVC,DESTINATION_AIRPORT_TYS,DESTINATION_AIRPORT_XNA
1665083,2015,1,1,4,23,41.9796,-87.90446,800,757.0,279.0,1039,1721,-27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665084,2015,1,1,4,139,41.9796,-87.90446,935,931.0,424.0,1339,2846,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665085,2015,1,1,4,29,41.9796,-87.90446,1520,1520.0,285.0,1805,1721,-18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665086,2015,1,1,4,675,41.9796,-87.90446,1730,1723.0,290.0,2020,1739,-30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665087,2015,1,1,4,21,41.9796,-87.90446,1930,1934.0,280.0,2210,1721,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
